TubeID;SampleID;Treatment [Factor];wpi [Factor];Region [Factor]
p1608_4212/19;PB-11_blood;RML6;4;blood
p1608_4211/55;PB-11_muscle;RML6;4;muscle
p1608_4211/19;PB-11_spleen;RML6;4;spleen
p1608_4212/38;PB-14_blood;NBH;4;blood
p1608_4211/92;PB-14_muscle;NBH;4;muscle
p1608_4211/74;PB-14_spleen;NBH;4;spleen
p1608_4212/20;PB-16_blood;NBH;4;blood
p1608_4211/56;PB-16_muscle;NBH;4;muscle
p1608_4211/20;PB-16_spleen;NBH;4;spleen
p1608_4212/1;PB-2_blood;RML6;4;blood
p1608_4211/37;PB-2_muscle;RML6;4;muscle
p1608_4211/1;PB-2_spleen;RML6;4;spleen
p1608_4212/2;PB-7_blood;NBH;4;blood
p1608_4211/38;PB-7_muscle;NBH;4;muscle
p1608_4211/2;PB-7_spleen;NBH;4;spleen
p1608_4212/37;PB-9_blood;RML6;4;blood
p1608_4211/91;PB-9_muscle;RML6;4;muscle
p1608_4211/73;PB-9_spleen;RML6;4;spleen
p1608_5588/43;PB-17_blood;RML6;8;blood
p1608_5588/2;PB-22_muscle;NBH;8;muscle
p1608_4212/3;PB-18_blood;RML6;8;blood
p1608_4211/40;PB-23_muscle;NBH;8;muscle
p1608_4211/3;PB-18_spleen;RML6;8;spleen
p1608_5588/57;PB-19_blood;RML6;8;blood
p1608_5588/16;PB-24_muscle;NBH;8;muscle
p1608_5588/44;PB-22_blood;NBH;8;blood
p1608_4211/58;PB-30_muscle;NBH;8;muscle
p1608_4212/4;PB-23_blood;NBH;8;blood
p1608_4211/94;PB-31_muscle;NBH;8;muscle
p1608_4211/4;PB-23_spleen;NBH;8;spleen
p1608_5588/58;PB-24_blood;NBH;8;blood
p1608_5588/30;PB-32_muscle;NBH;8;muscle
p1608_4212/39;PB-25_blood;RML6;8;blood
p1608_5588/12;PBH-10_muscle;NBH;8;muscle
p1608_4211/75;PB-25_spleen;RML6;8;spleen
p1608_4212/21;PB-27_blood;RML6;8;blood
p1608_5588/26;PBH-11_muscle;NBH;8;muscle
p1608_4211/21;PB-27_spleen;RML6;8;spleen
p1608_5588/70;PB-28_blood;RML6;8;blood
p1608_5588/40;PBH-12_muscle;NBH;8;muscle
p1608_4212/22;PB-30_blood;NBH;8;blood
p1608_5588/14;PBO-D1_muscle;NBH_old;8;muscle
p1608_4211/22;PB-30_spleen;NBH;8;spleen
p1608_4212/40;PB-31_blood;NBH;8;blood
p1608_5588/28;PBO-D2_muscle;NBH_old;8;muscle
p1608_4211/76;PB-31_spleen;NBH;8;spleen
p1608_5588/71;PB-32_blood;NBH;8;blood
p1608_5588/42;PBO-D3_muscle;NBH_old;8;muscle
p1608_5588/54;PBH-10_blood;NBH;8;blood
p1608_5588/1;PB-17_muscle;RML6;8;muscle
p1608_5588/67;PBH-11_blood;NBH;8;blood
p1608_4211/39;PB-18_muscle;RML6;8;muscle
p1608_5588/81;PBH-12_blood;NBH;8;blood
p1608_5588/15;PB-19_muscle;RML6;8;muscle
p1608_5588/53;PBH-7_blood;RML6;8;blood
p1608_4211/93;PB-25_muscle;RML6;8;muscle
p1608_5588/66;PBH-8_blood;RML6;8;blood
p1608_4211/57;PB-27_muscle;RML6;8;muscle
p1608_5588/80;PBH-9_blood;RML6;8;blood
p1608_5588/29;PB-28_muscle;RML6;8;muscle
p1608_5588/55;PBO-C2_blood;RML6_old;8;blood
p1608_5588/11;PBH-7_muscle;RML6;8;muscle
p1608_5588/68;PBO-C3_blood;RML6_old;8;blood
p1608_5588/25;PBH-8_muscle;RML6;8;muscle
p1608_5588/82;PBO-C5_blood;RML6_old;8;blood
p1608_5588/39;PBH-9_muscle;RML6;8;muscle
p1608_5588/56;PBO-D1_blood;NBH_old;8;blood
p1608_5588/13;PBO-C2_muscle;RML6_old;8;muscle
p1608_5588/69;PBO-D2_blood;NBH_old;8;blood
p1608_5588/27;PBO-C3_muscle;RML6_old;8;muscle
p1608_5588/83;PBO-D3_blood;NBH_old;8;blood
p1608_5588/41;PBO-C5_muscle;RML6_old;8;muscle
p1608_5588/45;PB-33_blood;RML6;12;blood
p1608_4211/42;PB-39_muscle;NBH;12;muscle
p1608_4212/5;PB-34_blood;RML6;12;blood
p1608_4211/60;PB-46_muscle;NBH;12;muscle
p1608_4211/5;PB-34_spleen;RML6;12;spleen
p1608_5588/72;PB-35_blood;RML6;12;blood
p1608_4211/96;PB-47_muscle;NBH;12;muscle
p1608_5588/46;PB-38_blood;NBH;12;blood
p1608_5588/18;PB-48_muscle;NBH;12;muscle
p1608_4212/6;PB-39_blood;NBH;12;blood
p1608_5588/32;PB-40_muscle;NBH;12;muscle
p1608_4211/6;PB-39_spleen;NBH;12;spleen
p1608_5588/4;PB-38_muscle;NBH;12;muscle
p1608_4212/41;PB-41_blood;RML6;12;blood
p1608_4211/41;PB-34_muscle;RML6;12;muscle
p1608_4211/77;PB-41_spleen;RML6;12;spleen
p1608_5588/59;PB-42_blood;RML6;12;blood
p1608_4211/59;PB-43_muscle;RML6;12;muscle
p1608_4212/23;PB-43_blood;RML6;12;blood
p1608_4211/95;PB-41_muscle;RML6;12;muscle
p1608_4211/23;PB-43_spleen;RML6;12;spleen
p1608_4212/24;PB-46_blood;NBH;12;blood
p1608_5588/17;PB-42_muscle;RML6;12;muscle
p1608_4211/24;PB-46_spleen;NBH;12;spleen
p1608_4212/42;PB-47_blood;NBH;12;blood
p1608_5588/3;PB-33_muscle;RML6;12;muscle
p1608_4211/78;PB-47_spleen;NBH;12;spleen
p1608_5588/60;PB-48_blood;NBH;12;blood
p1608_5588/31;PB-35_muscle;RML6;12;muscle
p1608_4212/13;PB-50_blood;RML6;14;blood
p1608_4211/50;PB-55_muscle;NBH;14;muscle
p1608_4211/13;PB-50_spleen;RML6;14;spleen
p1608_4212/14;PB-55_blood;NBH;14;blood
p1608_4211/68;PB-63_muscle;NBH;14;muscle
p1608_4211/14;PB-55_spleen;NBH;14;spleen
p1608_4212/31;PB-58_blood;RML6;14;blood
p1608_4211/104;PB-64_muscle;NBH;14;muscle
p1608_4211/31;PB-58_spleen;RML6;14;spleen
p1608_4212/49;PB-59_blood;RML6;14;blood
p1608_4211/49;PB-50_muscle;RML6;14;muscle
p1608_4211/85;PB-59_spleen;RML6;14;spleen
p1608_4212/32;PB-63_blood;NBH;14;blood
p1608_4211/67;PB-58_muscle;RML6;14;muscle
p1608_4211/32;PB-63_spleen;NBH;14;spleen
p1608_4212/50;PB-64_blood;NBH;14;blood
p1608_4211/103;PB-59_muscle;RML6;14;muscle
p1608_4211/86;PB-64_spleen;NBH;14;spleen
p1608_5588/47;PB-65_blood;RML6;16;blood
p1608_5588/6;PB-70_muscle;NBH;16;muscle
p1608_4212/7;PB-66_blood;RML6;16;blood
p1608_4211/44;PB-71_muscle;NBH;16;muscle
p1608_4211/7;PB-66_spleen;RML6;16;spleen
p1608_5588/61;PB-67_blood;RML6;16;blood
p1608_5588/20;PB-72_muscle;NBH;16;muscle
p1608_5588/48;PB-70_blood;NBH;16;blood
p1608_4211/62;PB-78_muscle;NBH;16;muscle
p1608_4212/8;PB-71_blood;NBH;16;blood
p1608_4211/98;PB-79_muscle;NBH;16;muscle
p1608_4211/8;PB-71_spleen;NBH;16;spleen
p1608_5588/34;PB-80_muscle;NBH;16;muscle
p1608_4212/43;PB-73_blood;RML6;16;blood
p1608_5588/5;PB-65_muscle;RML6;16;muscle
p1608_4211/79;PB-73_spleen;RML6;16;spleen
p1608_5588/74;PB-74_blood;RML6;16;blood
p1608_4211/43;PB-66_muscle;RML6;16;muscle
p1608_4212/25;PB-75_blood;RML6;16;blood
p1608_5588/19;PB-67_muscle;RML6;16;muscle
p1608_4211/25;PB-75_spleen;RML6;16;spleen
p1608_4212/26;PB-78_blood;NBH;16;blood
p1608_4211/97;PB-73_muscle;RML6;16;muscle
p1608_4211/26;PB-78_spleen;NBH;16;spleen
p1608_4212/44;PB-79_blood;NBH;16;blood
p1608_5588/33;PB-74_muscle;RML6;16;muscle
p1608_4211/80;PB-79_spleen;NBH;16;spleen
p1608_5588/75;PB-80_blood;NBH;16;blood
p1608_4211/61;PB-75_muscle;RML6;16;muscle
p1608_4212/15;PB-82_blood;RML6;18;blood
p1608_4211/52;PB-87_muscle;NBH;18;muscle
p1608_4211/15;PB-82_spleen;RML6;18;spleen
p1608_4212/16;PB-87_blood;NBH;18;blood
p1608_4211/70;PB-95_muscle;NBH;18;muscle
p1608_4211/16;PB-87_spleen;NBH;18;spleen
p1608_4212/33;PB-90_blood;RML6;18;blood
p1608_4211/106;PB-96_muscle;NBH;18;muscle
p1608_4211/33;PB-90_spleen;RML6;18;spleen
p1608_4212/51;PB-91_blood;RML6;18;blood
p1608_4211/51;PB-82_muscle;RML6;18;muscle
p1608_4211/87;PB-91_spleen;RML6;18;spleen
p1608_4212/34;PB-95_blood;NBH;18;blood
p1608_4211/69;PB-90_muscle;RML6;18;muscle
p1608_4211/34;PB-95_spleen;NBH;18;spleen
p1608_4212/52;PB-96_blood;NBH;18;blood
p1608_4211/105;PB-91_muscle;RML6;18;muscle
p1608_4211/88;PB-96_spleen;NBH;18;spleen
p1608_4212/10;PB-102_blood;NBH;20;blood
p1608_4211/46;PB-102_muscle;NBH;20;muscle
p1608_4211/10;PB-102_spleen;NBH;20;spleen
p1608_5588/50;PB-103_blood;NBH;20;blood
p1608_5588/8;PB-103_muscle;NBH;20;muscle
p1608_5588/77;PB-104_blood;NBH;20;blood
p1608_5588/36;PB-104_muscle;NBH;20;muscle
p1608_4212/45;PB-105_blood;RML6;20;blood
p1608_4211/64;PB-110_muscle;NBH;20;muscle
p1608_4211/81;PB-105_spleen;RML6;20;spleen
p1608_5588/62;PB-106_blood;RML6;20;blood
p1608_4211/100;PB-111_muscle;NBH;20;muscle
p1608_4212/27;PB-107_blood;RML6;20;blood
p1608_5588/22;PB-112_muscle;NBH;20;muscle
p1608_4211/27;PB-107_spleen;RML6;20;spleen
p1608_4212/28;PB-110_blood;NBH;20;blood
p1608_4211/99;PB-105_muscle;RML6;20;muscle
p1608_4211/28;PB-110_spleen;NBH;20;spleen
p1608_4212/46;PB-111_blood;NBH;20;blood
p1608_5588/21;PB-106_muscle;RML6;20;muscle
p1608_4211/82;PB-111_spleen;NBH;20;spleen
p1608_5588/63;PB-112_blood;NBH;20;blood
p1608_4211/63;PB-107_muscle;RML6;20;muscle
p1608_5588/49;PB-97_blood;RML6;20;blood
p1608_5588/7;PB-97_muscle;RML6;20;muscle
p1608_4212/9;PB-98_blood;RML6;20;blood
p1608_4211/45;PB-98_muscle;RML6;20;muscle
p1608_4211/9;PB-98_spleen;RML6;20;spleen
p1608_5588/76;PB-99_blood;RML6;20;blood
p1608_5588/35;PB-99_muscle;RML6;20;muscle
p1608_4212/17;PBY-J1_blood;none_7wks;-;blood
p1608_4211/53;PBY-J1_muscle;none_7wks;-;muscle
p1608_4211/17;PBY-J1_spleen;none_7wks;-;spleen
p1608_4212/35;PBY-J3_blood;none_7wks;-;blood
p1608_4211/71;PBY-J3_muscle;none_7wks;-;muscle
p1608_4211/35;PBY-J3_spleen;none_7wks;-;spleen
p1608_4212/53;PBY-J5_blood;none_7wks;-;blood
p1608_4211/107;PBY-J5_muscle;none_7wks;-;muscle
p1608_4211/89;PBY-J5_spleen;none_7wks;-;spleen
p1608_4212/18;PBY-K1_blood;none_36wks;-;blood
p1608_4211/54;PBY-K1_muscle;none_36wks;-;muscle
p1608_4211/18;PBY-K1_spleen;none_36wks;-;spleen
p1608_4212/36;PBY-K3_blood;none_36wks;-;blood
p1608_4211/72;PBY-K3_muscle;none_36wks;-;muscle
p1608_4211/36;PBY-K3_spleen;none_36wks;-;spleen
p1608_4212/54;PBY-K5_blood;none_36wks;-;blood
p1608_4211/108;PBY-K5_muscle;none_36wks;-;muscle
p1608_4211/90;PBY-K5_spleen;none_36wks;-;spleen
p1608_5588/51;PB-113_blood;RML6;term;blood
p1608_5588/10;PB-118_muscle;NBH;term;muscle
p1608_4212/11;PB-114_blood;RML6;term;blood
p1608_4211/48;PB-119_muscle;NBH;term;muscle
p1608_4211/12;PB-119_spleen;NBH;term;spleen
p1608_5588/64;PB-115_blood;RML6;term;blood
p1608_5588/24;PB-120_muscle;NBH;term;muscle
p1608_5588/52;PB-118_blood;NBH;term;blood
p1608_4211/102;PB-126_muscle;NBH;term;muscle
p1608_4212/12;PB-119_blood;NBH;term;blood
p1608_5588/38;PB-127_muscle;NBH;term;muscle
p1608_4211/84;PB-126_spleen;NBH;term;spleen
p1608_5588/65;PB-120_blood;NBH;term;blood
p1608_4211/66;PB-128_muscle;NBH;term;muscle
p1608_4212/47;PB-121_blood;RML6;term;blood
p1608_5588/9;PB-113_muscle;RML6;term;muscle
p1608_4211/30;PB-128_spleen;NBH;term;spleen
p1608_5588/78;PB-122_blood;RML6;term;blood
p1608_4211/47;PB-114_muscle;RML6;term;muscle
p1608_4212/29;PB-123_blood;RML6;term;blood
p1608_5588/23;PB-115_muscle;RML6;term;muscle
p1608_4211/11;PB-114_spleen;RML6;term;spleen
p1608_4212/48;PB-126_blood;NBH;term;blood
p1608_4211/101;PB-121_muscle;RML6;term;muscle
p1608_4211/83;PB-121_spleen;RML6;term;spleen
p1608_5588/79;PB-127_blood;NBH;term;blood
p1608_5588/37;PB-122_muscle;RML6;term;muscle
p1608_4212/30;PB-128_blood;NBH;term;blood
p1608_4211/65;PB-123_muscle;RML6;term;muscle
p1608_4211/29;PB-123_spleen;RML6;term;spleen